appid,metacritic_score,metacritic_url
426930,0.0,unknown
499540,0.0,unknown
598620,0.0,unknown
1102140,0.0,unknown
1143900,0.0,unknown
606230,0.0,unknown
1601260,0.0,unknown
894090,0.0,unknown
1207390,0.0,unknown
1797590,0.0,unknown
508790,0.0,unknown
1084920,0.0,unknown
1146350,0.0,unknown
654260,0.0,unknown
828740,0.0,unknown
454680,0.0,unknown
449040,0.0,unknown
219830,81.0,https://www.metacritic.com/game/pc/king-arthurs-gold?ftag=MCD-06-10aaa1f
1913550,0.0,unknown
1192500,0.0,unknown
1554600,0.0,unknown
1155230,0.0,unknown
720030,0.0,unknown
1086140,0.0,unknown
1535420,0.0,unknown
415920,0.0,unknown
1507600,0.0,unknown
240340,0.0,unknown
1544810,0.0,unknown
793030,0.0,unknown
1514730,0.0,unknown
1487100,0.0,unknown
726000,0.0,unknown
2010540,0.0,unknown
1871390,0.0,unknown
651670,77.0,https://www.metacritic.com/game/pc/star-renegades?ftag=MCD-06-10aaa1f
987710,0.0,unknown
951050,0.0,unknown
1550630,0.0,unknown
1711530,0.0,unknown
1011420,0.0,unknown
1411460,0.0,unknown
680250,0.0,unknown
1915740,0.0,unknown
1421410,0.0,unknown
1275660,0.0,unknown
781520,0.0,unknown
1559930,0.0,unknown
1479540,0.0,unknown
1854510,0.0,unknown
1462560,0.0,unknown
1314290,0.0,unknown
1753100,0.0,unknown
1554970,0.0,unknown
211200,0.0,unknown
612590,0.0,unknown
700170,0.0,unknown
798590,0.0,unknown
718740,0.0,unknown
481950,0.0,unknown
113420,71.0,https://www.metacritic.com/game/pc/fallen-earth-welcome-to-the-apocalypse?ftag=MCD-06-10aaa1f
714880,0.0,unknown
328550,0.0,unknown
429430,0.0,unknown
1511130,0.0,unknown
454540,0.0,unknown
829260,0.0,unknown
1384990,0.0,unknown
1108020,0.0,unknown
781760,0.0,unknown
988070,0.0,unknown
1222370,0.0,unknown
533960,0.0,unknown
1152200,0.0,unknown
760640,0.0,unknown
22380,84.0,https://www.metacritic.com/game/pc/fallout-new-vegas?ftag=MCD-06-10aaa1f
1678450,0.0,unknown
1475940,0.0,unknown
529780,0.0,unknown
753090,0.0,unknown
499230,0.0,unknown
1136240,0.0,unknown
450390,0.0,unknown
1907420,0.0,unknown
1268840,0.0,unknown
