appid,developers,publishers
1037410,Double Door Games,"Double Door Games,Breda University of Applied Sciences"
349450,Morozov Sergey,Morozov Sergey
299100,Carlo D'Apostoli Projects,Strategy First
597840,DesktopPaints LLC,DesktopPaints LLC
492230,Cyanide Studio,Focus Entertainment
305840,unknown,unknown
1642220,Very Very LITTLE Studio,Very Very LITTLE Studio
1080360,Aaron Saluk,Aaron Saluk
934250,Joseph Griggs,Joseph Griggs
403830,Ben 'Yahtzee' Croshaw,Ben 'Yahtzee' Croshaw
397190,Byzantine Games,Slitherine Ltd.
362310,Christopher Yabsley,Christopher Yabsley
1121910,Psyop,KFC
415240,Terrifying Jellyfish,Terrifying Jellyfish
407320,COSEN,Sekai Project
1693480,Lost Tales Studio,Nara Inc.
1339450,Blender Games,Blender Games
513920,Yokcos,Yokcos
632750,OrangeStar,OrangeStar
805030,Vendel Games,Big Fish Games
1078770,Unorganized Games,Ahlman Game Studio
1536210,ABShot,ABShot
286930,Le Cortex,Neko Entertainment
403670,DeanForge,DeanForge
1494180,花蕊游戏工作室,花蕊游戏工作室
1229510,HoneyGame,HoneyGame
1122710,Blueplant Entertainment,Blueplant Entertainment
636740,"Mårten Jonsson,JMJ Interactive",JMJ Interactive
665880,Lucid Dream Studio,Lucid Dream Studio
440720,SVGames,SVGames
1495670,kazakovstudios,KazakovStudios
1126890,Hues Games,Hues Games
1668810,玫瑰工作室,玫瑰工作室
1452360,Ohana Studio,Ohana Studio
1488170,NestTree Games,NestTree Games
840980,Fever Dream Gameworks,Fever Dream Gameworks
1654830,Sokpop Collective,Sokpop Collective
886900,Inner Void,Digital Tribe
1600230,Creobit,8floor
859680,Neko Climax Studios,Neko Climax Studios
1843750,D.P.L.D.S,D.P.L.D.S
1143140,Leme Interactive,Leme Interactive
976700,Mazen Games,GrabTheGames
392780,Lantana Games,Lantana Games
1089980,PuffballsUnited,Innersloth
1857980,iNightGaming LLC,iNightGaming LLC
1163490,Sunlight Games,Sunlight Games
754620,KUMA GAMES,KUMA GAMES
970840,Zordix Racing,Nacon
1024970,"BeiJing FlyDream Interactive co.,ltd","BeiJing FlyDream Interactive co.,ltd"
1933640,原灵·深海遗梦制作组,原灵·深海遗梦制作组
1170350,Jellybean Game Studios,Jellybean Game Studios
1084460,PDS Games,PDS Games
1747880,unknown,unknown
1555480,unknown,unknown
1158890,Monokel,"Thunderful Publishing,Mixtvision"
411000,inkle Ltd,inkle Ltd
1761980,hellydev,hellydev
1858620,npuKoJI team,npuKoJI team
1197710,Yustas Game Studio,Alawar Entertainment
1534550,Hot Chill,Hot Chill
1978290,"Oliver Starup,Mikkel Winter Degn-Andersen,Marius Larsen,Herman Kyhn",Oliver Starup
321360,"Circle Five Studios,Pub Games",Circle Five Publishing
1758050,Piece Of Voxel,Piece Of Voxel
1491550,Station 437,Station 437
1879780,unknown,unknown
730270,RedNukem,RedNukem
1561020,Softwaves,Softwaves Dist.
446760,Fermenter Games,Fermenter Games
1882520,Felione1,kovalevviktor
671700,14 Hours Productions,14 Hours Productions
423490,3Division,3Division
460560,Guru Games,Guru Games
1008870,"Droid Riot,Mahich",Trinity Project
1845280,Laplace Games,Laplace Games
1024730,Bjoern Grunewald,GruneGames
1194650,Frame,Frame
1730620,unknown,unknown
203560,Bootsnake Games,Bootsnake Games
1039290,DP3 Softworks,DP3 Softworks
654810,m12y,m12y
1496470,Noline,Noline
1147390,idk?,idk?
923590,Sandspire Interactive,Sandspire Interactive
1457580,BadBoys Game Studios,Lion Castle Entertainment
844580,Seven Sails,Seven Sails
1447330,Fabiano Naspolini,Fabiano Naspolini
46850,Dust Devil Studios Inc.,Strategy First
220440,Ninja Theory,Capcom
1209860,Big Way Games,Big Way Games
1145020,"Dan Zaidan,Gamecraft Studios",Dan Zaidan
375910,Blue Byte,Ubisoft
494970,Modern Dream Ltd,War Child Gaming
1090590,Hooting Banana Studios,Hooting Banana Studios
1158820,Creobit,8floor
917990,KOEX studio (choo bin yong),KOEX studio
884090,ChimpLabs,ChimpLabs
1361190,"Amaury Dangréau,Arnaud Magous",Amaury Hyde
755140,Vishwakarma studios,Vishwakarma studios
1550030,Deep Range Studio,Deep Range Studio
1111380,MAGES. Inc.,"Spike Chunsoft Co., Ltd."
371790,Rakesh Malik,Rakesh Malik
1217350,Hijong Park,PsychoFlux Entertainment
659190,Konstructors,"Hook Games,GrabTheGames,WhisperGames"
757300,btf,"Headup,WhisperGames"
1835640,Archor Wright,Archor Games
519200,Alex Hanson-White,Alex Hanson-White
512080,哈视奇科技,哈视奇科技
1563730,Vincent Lade,Vincent Lade
751220,"Nicolás Recabarren,Tomás Batista",Nonsense Arts
851520,Ripknot Systems,Ripknot Systems
3360,"PopCap Games, Inc.","PopCap Games, Inc."
919280,EffectMatrix,EffectMatrix
616700,XDEVS LTD,XDEVS LTD
547870,Rodrigo Banzato,Rodrigo Banzato
954010,boxedworks,boxedworks
1067460,Immotion Studio Ltd,Immotion Studio Ltd
1155560,Fifth Edge Studios,Fifth Edge Studios
615630,iVRstudio,"iVR, LLC."
320340,Chasing Carrots,Chasing Carrots
1352740,Bo Chen,Bo Chen
1380520,Enaayah Software Development and Services Private Limited,Enaayah Software Development and Services Private Limited
1096590,Team Atma,Rubika Supinfogame
335100,iosoftware,Hack The Publisher
686610,Marafigo Games,Marafigo Games
1375480,zuza,zuza
1342520,AZDogCats,AZDogCats
1744060,Ammonite Design Studios Ltd,Ammonite Design Studios Ltd
915560,MangaGamer,MangaGamer
1622990,RadLab,RadLab Games
1835370,Technolomics,Technolomics
280640,Burian Media Enterprises,Volens Nolens Games
418030,ColdGames,ColdGames
1759710,Akiya Research Institute,Akiya Research Institute
544140,EnsenaSoft,EnsenaSoft
1017800,UA Games,NEBOCRY INTERACTIVE
680380,"Monkey Moon,BlackMuffin",Raw Fury
1080780,xrrawva,xrrawva
339840,House of Tales,HandyGames
1225330,Visual Concepts,2K
1523690,indiegames3000,indiegames3000
233610,Refract,Refract
371850,"Sports Mogul, Inc.","Sports Mogul, Inc."
1620580,Hentai VR Studios,Hentai VR Studios
497180,"Invictus Games Ltd.,ImageCode","Activision Value Inc.,ImageCode"
366760,White Rabbit,Volens Nolens Games
1162290,Laush Dmitriy Sergeevich,Laush Studio
1774160,Dallen Larson Games,"Dallen Larson Games,Pix Arts"
1268400,Onteca Ltd,Onteca Ltd
1795830,3000Studio,3000Studio
1347970,Lychee Game Labs,Curve Games
1964490,Elite Interactives,Elite Interactives
970240,Middle City Games,Dark Inertia Studios
1884430,Hunny Bunny Studio,Hunny Bunny Studio
1346660,钻石工艺,钻石工艺
1544500,Puppetmaster3dx,Puppetmaster3dx
